chromosome,size_bp,genes_per_mb,exons_per_mb,tRNAs_per_mb,snoRNAs_per_mb
chrI,230218.0,508.2139537308116,0.0,17.374836024985015,4.343709006246254
chrII,813184.0,560.7586966787344,0.0,15.98654179127971,2.459467967889186
chrIII,316620.0,581.1382730086539,0.0,31.58360179394858,12.633440717579433
chrIV,1531933.0,546.368542227369,0.0,18.277561747152127,2.611080249593161
chrIX,439888.0,547.8667297130179,0.0,22.73305932419161,2.273305932419161
chrM,85779.0,0.0,0.0,0.0,0.0
chrV,576874.0,559.9142967095067,0.0,34.6696158953255,8.667403973831375
chrVI,270161.0,518.2095121057444,0.0,37.01496515041031,0.0
chrVII,1090940.0,536.2348066804774,0.0,32.99906502649092,5.499844171081819
chrVIII,562643.0,574.07627927478,0.0,19.550585362299007,3.5546518840543646
chrX,745751.0,535.031129693423,0.0,32.18232359058184,6.704650748037883
chrXI,666816.0,523.3827622612536,0.0,23.994625203954314,7.498320376235724
chrXII,1078177.0,537.0175768913639,0.0,19.477321441655686,6.4924404805518945
chrXIII,924431.0,548.4454761902186,0.0,22.716676528588938,14.062704517697913
chrXIV,784333.0,557.1613077608619,0.0,17.849561347029898,6.374843338224964
chrXV,1091291.0,547.0584839424132,0.0,18.326917385005466,10.079804561753006
chrXVI,948066.0,538.9920111047121,0.0,17.931241073933673,6.328673320211884
chrmt,,,,,
